fold,iteration,train_auc,train_logloss,valid_auc,valid_logloss
1,200,0.796961,0.234878,0.776101,0.246826
1,400,0.819374,0.225345,0.786946,0.242658
1,600,0.83398,0.219334,0.790771,0.241304
1,800,0.84613,0.214358,0.792736,0.240667
1,1000,0.85698,0.209763,0.794077,0.240208
1,1200,0.866576,0.205612,0.794517,0.240045
1,1400,0.875812,0.20151,0.794884,0.239946
1,1350,0.873479,0.202541,0.795044,0.239899
1,200,0.796619,0.235563,0.777538,0.241618
1,400,0.81929,0.226004,0.786998,0.237347
1,600,0.834277,0.219903,0.788928,0.236361
1,800,0.84655,0.214846,0.790282,0.235835
1,1000,0.856788,0.210522,0.790867,0.235575
1,1200,0.865945,0.206517,0.791196,0.235383
1,1400,0.87497,0.202453,0.791195,0.235311
1,1296,0.870329,0.20458,0.79131,0.235314
2,200,0.797203,0.234985,0.767879,0.246474
2,400,0.819932,0.225429,0.778204,0.242613
2,600,0.834858,0.219304,0.781605,0.241524
2,800,0.84705,0.214282,0.783683,0.240943
2,1000,0.857216,0.209945,0.784333,0.240759
2,1200,0.866638,0.205848,0.78489,0.240659
2,1400,0.875299,0.201906,0.785202,0.240611
2,1371,0.874097,0.202479,0.78526,0.240585
3,200,0.796582,0.235544,0.778473,0.241216
3,400,0.819068,0.226008,0.788764,0.236945
3,600,0.833938,0.219946,0.792446,0.235525
3,800,0.84613,0.214973,0.793923,0.234941
3,1000,0.856677,0.210544,0.794942,0.234574
3,1200,0.866153,0.206469,0.79553,0.234329
3,1400,0.875195,0.202405,0.795691,0.234246
3,1600,0.883336,0.198623,0.795937,0.234144
3,1800,0.890948,0.19497,0.796022,0.234104
3,2000,0.897845,0.191517,0.795782,0.23422
3,1825,0.891759,0.194566,0.796099,0.234081
4,200,0.796081,0.236416,0.77971,0.234245
4,400,0.818758,0.226832,0.790146,0.229877
4,600,0.833917,0.220631,0.793439,0.228563
4,800,0.845983,0.215668,0.795156,0.227876
4,1000,0.856538,0.211204,0.79595,0.227558
4,1200,0.866152,0.207029,0.796463,0.22738
4,1400,0.875073,0.202957,0.796614,0.227303
4,1600,0.882666,0.199363,0.796578,0.227272
4,1402,0.875178,0.202906,0.796631,0.227297
5,200,0.797375,0.23534,0.766953,0.243359
5,400,0.819929,0.225765,0.777687,0.239517
5,600,0.835071,0.219602,0.781896,0.23811
5,800,0.846961,0.214697,0.783683,0.237458
5,1000,0.857483,0.210232,0.784412,0.237197
5,1200,0.867042,0.206025,0.784948,0.23707
5,1400,0.875674,0.202086,0.785125,0.237014
5,1365,0.874348,0.202696,0.785199,0.236968
6,200,0.797036,0.235544,0.77483,0.240546
6,400,0.819526,0.225998,0.784714,0.236374
6,600,0.834539,0.219857,0.787708,0.235194
6,800,0.846621,0.214935,0.789117,0.234696
6,1000,0.857169,0.210537,0.789661,0.234502
6,1200,0.866495,0.206485,0.790196,0.234332
6,1400,0.875452,0.202436,0.790542,0.234254
6,1600,0.88338,0.198686,0.790704,0.234252
6,1443,0.87716,0.201628,0.790664,0.23422
7,200,0.797109,0.235147,0.769481,0.245626
7,400,0.81955,0.225568,0.781,0.241301
7,600,0.834444,0.21943,0.785212,0.23988
7,800,0.846076,0.214637,0.787302,0.239244
7,1000,0.856704,0.210235,0.788506,0.23888
7,1200,0.866288,0.206045,0.788828,0.238787
7,1400,0.874867,0.202148,0.78895,0.23873
7,1600,0.882839,0.198416,0.789269,0.238597
7,1800,0.89042,0.194741,0.789408,0.238539
7,2000,0.897342,0.191296,0.789373,0.238597
7,1883,0.893462,0.193234,0.789533,0.238523
8,200,0.79611,0.235504,0.78031,0.242564
8,400,0.819077,0.225886,0.789959,0.238216
8,600,0.834544,0.219604,0.793435,0.236806
8,800,0.84677,0.214614,0.794689,0.236204
8,1000,0.857678,0.210068,0.795043,0.235961
8,1200,0.867421,0.205809,0.795749,0.235757
8,1400,0.876327,0.201809,0.79621,0.23559
8,1600,0.884409,0.198065,0.796254,0.235579
8,1548,0.882284,0.199045,0.796374,0.235542
9,200,0.796816,0.235645,0.771423,0.240904
9,400,0.819408,0.226121,0.782375,0.236637
9,600,0.834519,0.219944,0.786336,0.235187
9,800,0.846653,0.214951,0.787862,0.234572
9,1000,0.857177,0.210487,0.789206,0.234155
9,1200,0.866943,0.206237,0.789968,0.233888
9,1400,0.875529,0.202351,0.790039,0.23381
9,1600,0.883596,0.198557,0.790241,0.233727
9,1512,0.880184,0.200198,0.79039,0.233706
